,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
608,spotify:track:0o4STUmiHirVtus3Qmyh2Y,0.486,0.0128,4,-32.354,1,0.05,0.993,0.963,0.101,0.08,65.959,87500,3,Classical
609,spotify:track:4u5cedyEcb8mWnD764OELD,0.431,0.0636,9,-30.527,1,0.0332,0.991,0.948,0.112,0.245,144.566,133609,4,Classical
611,spotify:track:5Ac0ipN7YqSDXOi3aT37kO,0.461,0.252,9,-18.372,1,0.0501,0.995,0.908,0.0886,0.343,98.181,128357,3,Classical
612,spotify:track:5NGtFXVpXSvwunEIGeviY3,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,205867,3,Classical
624,spotify:track:5xfujtIVvNc4ieq441J8NJ,0.412,0.0145,8,-30.382,1,0.0481,0.995,0.936,0.0901,0.147,133.196,174383,4,Classical
640,spotify:track:6DjJASpNIqqEABN4geePv0,0.485,0.038,7,-23.126,1,0.0548,0.994,0.887,0.0933,0.134,80.737,261533,3,Classical
646,spotify:track:6G6tIDO3rB8FktjkM70GGd,0.407,0.00453,5,-30.925,1,0.041,0.995,0.935,0.0798,0.0342,104.957,256360,4,Classical
652,spotify:track:0Kubohno5e03J30wNFg4B2,0.402,0.00517,1,-30.939,1,0.0551,0.995,0.893,0.0641,0.0656,65.18,224333,4,Classical
658,spotify:track:1gU5jNTPxkrF52O7vUTWzR,0.484,0.0111,0,-36.334,1,0.0384,0.995,0.878,0.0556,0.2,121.708,152933,4,Classical
660,spotify:track:4WH081NcZkk93PVK2S3q5N,0.458,0.0108,2,-29.707,1,0.0535,0.996,0.938,0.0724,0.135,115.141,328800,4,Classical
671,spotify:track:4SvoO5lHeDUIVYDpPF5YAO,0.488,0.0302,3,-34.981,1,0.0691,0.996,0.912,0.0934,0.147,74.322,138880,4,Classical
684,spotify:track:7qfUR1g5efZUh7Vf3fY8fh,0.416,0.00661,9,-32.409,0,0.042,0.993,0.922,0.0626,0.198,129.077,177227,3,Classical
686,spotify:track:7wEql4SrP9nL5U4zxmcrVM,0.494,0.016,10,-32.307,1,0.0426,0.995,0.922,0.136,0.118,98.224,295840,4,Classical
697,spotify:track:67HF6y5o1UhIFUGIOPzUK5,0.458,0.0183,4,-29.244,1,0.0453,0.989,0.879,0.074,0.219,117.004,147587,4,Classical
711,spotify:track:7jOnhe335cbTJyTiZoPkxg,0.457,0.216,0,-20.563,1,0.0337,0.948,0.785,0.0958,0.519,100.608,232627,3,Classical
720,spotify:track:06naL4CQq3FfhsutfV4rCd,0.443,0.0521,10,-22.964,1,0.0492,0.992,0.963,0.109,0.187,106.759,123850,4,Classical
722,spotify:track:0OzWMv5ZuMszZVwYUNL9j6,0.429,0.0472,11,-27.076,1,0.087,0.995,0.945,0.0996,0.156,73.629,171664,3,Classical
725,spotify:track:2Imxyb3LiuXsDFo7Gq5YDs,0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507,215800,4,Classical
736,spotify:track:7rcUjAbjRTbatpdYH5rEmx,0.435,0.00889,7,-33.986,1,0.046,0.992,0.941,0.121,0.29,110.307,116960,3,Classical
739,spotify:track:6jZj45D2jdR6fMEb58TlSc,0.406,0.00645,7,-32.739,0,0.0453,0.994,0.935,0.0895,0.111,59.156,230893,4,Classical
752,spotify:track:1wFDGTlLE91EeholRAB6x9,0.438,0.0156,3,-29.108,1,0.0621,0.996,0.963,0.098,0.288,66.389,99960,4,Classical
773,spotify:track:2fn7wn7Rl9Lgco3KjeCkJn,0.495,0.0566,2,-23.135,1,0.0474,0.995,0.944,0.11,0.146,105.228,246680,4,Classical
778,spotify:track:1aMeBqrCnPf1CzRXlKyNFs,0.49,0.0211,4,-27.365,1,0.0586,0.991,0.923,0.1,0.468,65.339,123427,3,Classical
782,spotify:track:0IeIIRG7nKNWUjsv6cjF2Y,0.47,0.00885,3,-28.801,1,0.0641,0.995,0.918,0.119,0.406,80.708,83333,1,Classical
787,spotify:track:5OLv8P0JSaXFB95rw5saRv,0.438,0.0127,5,-36.218,1,0.0725,0.983,0.936,0.0809,0.173,133.299,185947,4,Classical
801,spotify:track:5S1Nh02afzIgjwYPZSbh6N,0.434,0.0819,4,-22.736,1,0.0433,0.994,0.914,0.0939,0.0537,111.09,302893,3,Classical
805,spotify:track:246kWB3pAv70EQvA6OrTpt,0.435,0.279,4,-14.832,0,0.058,0.982,0.923,0.0904,0.134,126.545,292640,3,Classical
818,spotify:track:7233BUcS5dQ65F2b5pNMXN,0.414,0.0385,3,-23.551,1,0.0461,0.99,0.935,0.108,0.202,80.698,184510,4,Classical
821,spotify:track:3KgdTCMN9V5XPX7icisnyf,0.457,0.202,9,-19.049,0,0.0416,0.991,0.878,0.143,0.332,89.904,320027,4,Classical
822,spotify:track:7lCykZv6dxrbN7p7GbKxMz,0.478,0.0311,9,-24.786,0,0.0636,0.991,0.924,0.0993,0.254,102.42,259333,4,Classical
824,spotify:track:1ezqle0CLSBPjjZcjKhFuh,0.436,0.0493,0,-26.583,1,0.0484,0.986,0.909,0.136,0.233,108.507,309587,3,Classical
862,spotify:track:4zMRf5RYHmtXBkjfr4WtVX,0.475,0.00751,5,-29.303,1,0.0568,0.996,0.91,0.0651,0.135,100.729,379680,4,Classical
897,spotify:track:4TrQiCCgbAzZMGHWWDwDeh,0.472,0.0274,7,-25.915,0,0.0467,0.992,0.931,0.161,0.371,71.658,137000,3,Classical
910,spotify:track:0QSUqQos3BcIJqQrrvR2Qj,0.429,0.065,4,-27.347,0,0.0525,0.967,0.924,0.103,0.671,149.386,341333,3,Classical
921,spotify:track:2ULH6HXhuOAq7JgRk5ijLh,0.449,0.0933,0,-21.742,0,0.0528,0.995,0.925,0.0936,0.125,91.026,547830,4,Classical
931,spotify:track:0lkTPMpOSGwmQJrdwILqXd,0.452,0.0186,2,-28.385,0,0.041,0.994,0.908,0.118,0.0782,69.926,150453,4,Classical
937,spotify:track:1LpBu9DMOmscT94Rbf2y2v,0.415,0.00996,7,-30.74,1,0.0725,0.993,0.886,0.106,0.256,172.05,269893,1,Classical
941,spotify:track:285RX2xSWHVzpEwB362tFJ,0.477,0.0581,11,-21.258,0,0.0788,0.986,0.914,0.106,0.321,67.752,186000,4,Classical
