,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
421,spotify:track:5IvKtrcNWBkvyW2yXZ2Y40,0.49,0.938,1,-3.916,1,0.129,0.00234,2.17e-05,0.186,0.437,196.143,274160,4,Rock
423,spotify:track:4x3381mYJqptPqT6OKUfmu,0.426,0.881,4,-4.526,1,0.0404,0.00573,0.0693,0.389,0.259,139.986,247893,4,Rock
427,spotify:track:1aC1IBAETh2XYGOE8kCC6t,0.493,0.88,6,-6.424,0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,264800,4,Rock
436,spotify:track:1bpo7csRNPoW01SGPbGclM,0.458,0.863,4,-4.876,0,0.0336,0.0161,0.0,0.345,0.654,146.224,190960,4,Rock
437,spotify:track:6YUKAH1icwkA3U7fVp3amo,0.456,0.847,6,-6.386,0,0.034,0.00048,0.0437,0.0844,0.299,147.911,288360,3,Rock
441,spotify:track:3GcvxghJMdrNH92Rp2oMtV,0.464,0.459,0,-8.218,1,0.029,0.0134,0.0149,0.0723,0.144,159.541,277667,4,Rock
446,spotify:track:7zPyyV3kRtp9PWtPJJbNZ1,0.47,0.704,7,-8.498,1,0.0319,0.0133,0.862,0.177,0.134,111.145,319971,4,Rock
448,spotify:track:4Dnnchb3a2hx3HlUfF9DXE,0.454,0.805,7,-4.946,1,0.0311,0.0225,0.0,0.358,0.586,91.267,213333,4,Rock
452,spotify:track:1a3RarhRdrNSTEEERYEFJn,0.443,0.722,6,-6.326,1,0.0865,0.00393,0.0155,0.0373,0.167,111.324,420267,4,Rock
457,spotify:track:5XtAwyLsH2ARH2ztJLawG7,0.462,0.401,4,-9.582,0,0.0299,0.292,0.0,0.186,0.403,120.936,209307,4,Rock
459,spotify:track:5WSsTyBvMEFG3ac6JKb9gY,0.491,0.613,0,-5.567,1,0.0266,0.00511,0.0,0.107,0.175,75.907,308867,4,Rock
460,spotify:track:71MFFmfNghNbW8n2cYVan3,0.459,0.621,6,-6.522,1,0.0271,0.0824,0.0,0.134,0.315,145.597,237307,4,Rock
463,spotify:track:276oW7wsHYTfqkrDeRvS6C,0.404,0.381,2,-6.948,1,0.0301,0.355,0.0407,0.124,0.317,80.883,323360,4,Rock
467,spotify:track:1edCFSAq1uhb8WOBvSvVJr,0.474,0.643,1,-6.879,1,0.0259,0.0459,1.07e-05,0.0955,0.268,79.461,285933,4,Rock
472,spotify:track:2o4u19nlQWOGg5mLanT7Pg,0.435,0.666,6,-10.596,1,0.031,0.254,1.4e-05,0.0541,0.566,176.431,232640,4,Rock
483,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh,0.495,0.609,7,-9.902,1,0.0339,0.42,0.0,0.187,0.33,135.671,257440,4,Rock
485,spotify:track:6ZR2O1X8X9D8oCUqHuss7h,0.449,0.47,9,-10.584,1,0.0284,0.00321,0.0,0.298,0.541,84.407,273673,4,Rock
486,spotify:track:3UOrKWXdwUVtDglahh3OQj,0.414,0.429,8,-9.469,0,0.028,0.525,0.81,0.111,0.135,79.227,417693,4,Rock
489,spotify:track:1wHSxWBfPr3GO31y8KGrWe,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883,334744,4,Rock
492,spotify:track:4yWl0tnEanf3zmZzl9kbQn,0.488,0.493,2,-9.878,1,0.0464,0.255,0.000181,0.102,0.389,135.093,296133,4,Rock
494,spotify:track:6HiBjDRQapX1hsMRT7smAJ,0.429,0.848,6,-5.269,0,0.104,0.0223,0.0,0.348,0.463,172.19,163409,4,Rock
499,spotify:track:78ApVOpB9Sq8BZWxxURWp2,0.43,0.53,5,-6.466,1,0.0256,0.137,0.0,0.193,0.156,82.45,395520,3,Rock
507,spotify:track:0eiRTMXPHkYgeCuzKHgSLI,0.439,0.761,2,-5.661,1,0.0361,0.00139,4.54e-05,0.0772,0.155,121.999,317800,4,Rock
515,spotify:track:7utRJ4BeYx85khzP3lKoBX,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,271760,4,Rock
516,spotify:track:1FJu4hXTvoeKsbOxA85IuZ,0.456,0.268,6,-14.49,1,0.0312,0.727,0.000241,0.106,0.356,119.807,356093,4,Rock
518,spotify:track:6Rcv8LeOnK2i2MZ19n2fl4,0.479,0.309,11,-14.751,0,0.0299,0.153,0.22,0.134,0.182,127.155,379213,4,Rock
